Ticker,FullCode,Symbol,Signal,Probability,Start,End
010145,KR7010141000,삼성중공우,buy,0.896,2022-11-15,2022-11-28
016360,KR7016360000,삼성증권,hold,0.0,,
068290,KR7068290006,삼성출판사,hold,0.0,,
029780,KR7029780004,삼성카드,hold,0.0,,
000810,KR7000810002,삼성화재,hold,0.0,,
000815,KR7000811000,삼성화재우,hold,0.0,,
006110,KR7006110001,삼아알미늄,hold,0.0,,
145990,KR7145990008,삼양사,sell,0.894,2022-11-23,2022-11-28
145995,KR7145991006,삼양사우,hold,0.0,,
003230,KR7003230000,삼양식품,hold,0.0,,
002170,KR7002170009,삼양통상,hold,0.0,,
272550,KR7272550005,삼양패키징,buy,0.72,2022-11-24,2022-11-28
000070,KR7000070003,삼양홀딩스,buy,0.882,2022-11-17,2022-11-28
000075,KR7000071001,삼양홀딩스우,hold,0.0,,
002810,KR7002810000,삼영무역,hold,0.0,,
005680,KR7005680004,삼영전자,buy,0.84,2022-11-18,2022-11-28
003720,KR7003720000,삼영화학,hold,0.0,,
023000,KR7023000003,삼원강재,hold,0.0,,
004380,KR7004380002,삼익THK,hold,0.0,,
002450,KR7002450005,삼익악기,hold,0.0,,
004440,KR7004440004,삼일씨엔에스,buy,0.856,2022-11-15,2022-11-28
000520,KR7000520007,삼일제약,hold,0.0,,
009770,KR7009770009,삼정펄프,hold,0.0,,
005500,KR7005500004,삼진제약,hold,0.0,,
004690,KR7004690004,삼천리,sell,0.848,2022-11-24,2022-11-28
010960,KR7010960003,삼호개발,hold,0.0,,
004450,KR7004450003,삼화왕관,hold,0.0,,
009470,KR7009470006,삼화전기,hold,0.0,,
011230,KR7011230000,삼화전자,buy,0.84,2022-11-17,2022-11-28
001820,KR7001820000,삼화콘덴서,buy,0.808,2022-11-18,2022-11-28
000390,KR7000390005,삼화페인트,hold,0.0,,
001290,KR7001290006,상상인증권,hold,0.0,,
041650,KR7041650003,상신브레이크,buy,0.657,2022-11-18,2022-11-28
075180,KR7075180000,새론오토모티브,hold,0.0,,
007540,KR7007540008,샘표,buy,0.879,2022-11-17,2022-11-28
248170,KR7248170003,샘표식품,hold,0.0,,
007860,KR7007860000,서연,hold,0.0,,
200880,KR7200880003,서연이화,hold,0.0,,
017390,KR7017390006,서울가스,hold,0.0,,
004410,KR7004410007,서울식품,buy,0.803,2022-11-16,2022-11-28
004415,KR7004411005,서울식품우,hold,0.0,,
021050,KR7021050000,서원,sell,0.82,2022-11-21,2022-11-28
008490,KR7008490005,서흥,hold,0.0,,
136490,KR7136490000,선진,hold,0.0,,
014910,KR7014910004,성문전자,hold,0.0,,
014915,KR7014911002,성문전자우,hold,0.0,,
003080,KR7003080009,성보화학,hold,0.0,,
004980,KR7004980009,성신양회,hold,0.0,,
004985,KR7004981007,성신양회우,hold,0.0,,
011300,KR7011300001,성안,hold,0.0,,
000180,KR7000180000,성창기업지주,buy,0.902,2022-11-18,2022-11-28
002420,KR7002420008,세기상사,hold,0.0,,
004360,KR7004360004,세방,hold,0.0,,
004365,KR7004361002,세방우,hold,0.0,,
004490,KR7004490009,세방전지,hold,0.0,,
001430,KR7001430008,세아베스틸지주,hold,0.0,,
306200,KR7306200007,세아제강,hold,0.0,,
003030,KR7003030004,세아제강지주,hold,0.0,,
019440,KR7019440007,세아특수강,hold,0.0,,
058650,KR7058650003,세아홀딩스,hold,0.0,,
013000,KR7013000005,세우글로벌,hold,0.0,,
091090,KR7091090001,세원이앤씨,hold,0.0,,
